"Table 3.13: Income and tax by county and region, tax year 2021 to 2022",,,,,,,,,,,,,,,,,,,,
This worksheet contains one table and some cells may refer to notes which can be found on the accompanying notes worksheet.,,,,,,,,,,,,,,,,,,,,
"Numbers of taxpayers are measured in thousands, amounts are measured in £ millions, means and medians are measured in £. Totals may not sum due to rounding.",,,,,,,,,,,,,,,,,,,,
The source of this table is the Survey of Personal Incomes (SPI) for the tax year 2021 to 2022. This table was last updated in February 2024.,,,,,,,,,,,,,,,,,,,,
Region / County codes,Region/County,Self-employment income: Number of individuals,Self-employment income: Mean,Self-employment income: Median,Employment income: Number of individuals,Employment income: Mean,Employment income: Median,Pension income: Number of individuals,Pension income: Mean,Pension income: Median,Property interest dividend and other income: Number of individuals,Property interest dividend and other income: Mean,Property interest dividend and other income: Median,Total income: Number of individuals,Total income: Mean,Total income: Median,Total tax: Number of individuals,Total tax: Mean,Total tax: Median,Total tax: Amount
E10000032,West Sussex,55,26700,17000,325,37700,27400,143,22400,18200,218,7760,82,463,40200,28400,463,6970,2810,3230
Not applicable,Unitary Authorities (South East),169,27700,16800,1160,40800,28400,343,21500,17400,661,8200,88,1490,43300,29700,1490,8050,3040,12000
E12000009,South West,358,23400,15600,2080,32000,25100,891,20200,17000,1340,7030,74,2900,35300,26400,2900,5290,2470,15300
E10000008,Devon,62,22600,15100,269,30200,24200,141,20200,17000,199,6880,103,403,34100,25800,403,4880,2360,1970
E10000013,Gloucestershire,40,25300,15800,245,34400,25700,106,20700,17400,164,7580,65,340,37900,27000,340,6200,2580,2110
E10000027,Somerset,38,21400,15200,204,29700,23900,102,20500,16500,139,6360,74,296,33300,25600,296,4680,2300,1380
Not applicable,Unitary Authorities (South West),218,23600,15800,1370,32300,25300,541,20000,17000,835,7070,71,1860,35400,26600,1860,5310,2510,9890
W92000004,Wales,142,20100,14900,1090,29800,24800,448,18900,17000,625,4410,38,1480,31600,25200,1480,4040,2280,5970
S92000003,Scotland,226,29300,15900,2060,33100,26600,746,19600,16900,1250,4020,29,2690,35100,26800,2690,5430,2560,14600
N92000002,Northern Ireland,102,22200,14700,639,29600,24800,181,18800,16500,268,6150,69,810,32400,25800,810,4250,2370,3440
End of worksheet,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
